"rules","support","confidence","lift","count"
"{feathers} => {type=ave}",0.202020202020202,1,4.95,20
"{milk} => {type=mamifero}",0.404040404040404,1,2.475,40
"{hair} => {type=mamifero}",0.383838383838384,0.904761904761905,2.23928571428571,38
"{eggs,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{feathers,airborne} => {type=ave}",0.161616161616162,1,4.95,16
"{feathers,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,eggs} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,breathes} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,tail} => {type=ave}",0.202020202020202,1,4.95,20
"{feathers,backbone} => {type=ave}",0.202020202020202,1,4.95,20
"{eggs,legs=2} => {type=ave}",0.202020202020202,1,4.95,20
"{milk,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{hair,legs=4} => {type=mamifero}",0.313131313131313,1,2.475,31
"{legs=4,catsize} => {type=mamifero}",0.252525252525253,0.961538461538462,2.37980769230769,25
"{legs=4,tail} => {type=mamifero}",0.282828282828283,0.903225806451613,2.23548387096774,28
"{hair,milk} => {type=mamifero}",0.383838383838384,1,2.475,38
"{milk,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,toothed} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,breathes} => {type=mamifero}",0.404040404040404,1,2.475,40
"{milk,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{milk,backbone} => {type=mamifero}",0.404040404040404,1,2.475,40
"{hair,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,predator} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,toothed} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,breathes} => {type=mamifero}",0.383838383838384,0.904761904761905,2.23928571428571,38
"{hair,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,backbone} => {type=mamifero}",0.383838383838384,1,2.475,38
"{eggs,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
